muncod,year,s_uribe_02,s_uribe_06,hom_r,manu_sample
15212,1995,.46815497,.58796597,17.825311942959,
15215,1995,.43170488,.64853197,100.8064516129032,
15218,1995,.51804513,.78251445,0,
15223,1995,.28372741,.48538011,0,
15224,1995,.59394795,.50635207,0,
15226,1995,.30942896,.67067832,101.3684744044602,
15232,1995,.086821012,.093450785,0,
15236,1995,.87862515,.86797065,26.01456815816858,
15238,1995,.51853442,.62628871,19.34928359277498,1
15244,1995,.24482989,.88455081,27.43860611880917,
15248,1995,.77700347,.93636364,51.65289256198347,
15272,1995,.41218638,.54258412,44.85645933014354,
15276,1995,.57126635,.76193213,0,
15293,1995,.53505236,.64601767,26.49708532061473,
15296,1995,.46164674,.83005548,14.7819660014782,
15299,1995,.56871718,.67807746,18.46267462613084,
15317,1995,.60331631,.9057889,31.69572107765452,
15322,1995,.58889419,.72929937,93.10120100549297,
15325,1995,.83723462,.86567813,7.703566751405901,
15332,1995,.54103124,.87459457,10.36914143508917,
15362,1995,.55647057,.66875654,0,
15367,1995,.14814815,.57925725,41.57427937915743,
15368,1995,.39625713,.85012138,0,
15377,1995,.26079136,.80048466,95.2018278750952,
15380,1995,.72752041,.77508897,21.47766323024055,
15401,1995,.29805014,.45317221,66.8896321070234,
15403,1995,.82850432,.94036698,24.16042522348393,
15407,1995,.36939374,.48379272,0,
15425,1995,.80348396,.86906546,66.8896321070234,
15442,1995,.50747895,.51514083,86.96597456245244,
15455,1995,.271456,.67940605,0,
15464,1995,.7288323,.88491166,44.25431479569258,
15466,1995,.50422537,.75325412,20.60156571899464,
15469,1995,.43117025,.51622665,30.34243606415258,
15476,1995,.13253546,.22957867,45.93477262287551,
15480,1995,.73676598,.7790283,100.2606777621817,
15491,1995,.25973272,.46399856,16.57962364254331,
15494,1995,.28353521,.4563998,0,
15500,1995,.44141915,.51791531,0,
15507,1995,.84760815,.77175963,107.2438334795749,
15511,1995,.77957445,.79027903,0,
15514,1995,.32626188,.79820627,0,
15516,1995,.40977132,.54345709,3.938248267170763,1
15518,1995,.1769437,.85391569,196.7342120794806,
15522,1995,.60434055,.9017632,0,
15531,1995,.54706639,.52842712,148.3207966945651,
15533,1995,.19393939,.72830188,0,
15537,1995,.10032513,.37471884,15.23693432881304,
15542,1995,.59751594,.74392784,19.00057001710051,
15550,1995,,.80952382,0,
15572,1995,.58716762,.5673241,53.82131324004305,1
15580,1995,.8037346,.74791086,55.5594138481839,
15599,1995,.49985185,.75145274,22.15330084182543,
15600,1995,.48220733,.72549021,8.298066550493735,
15621,1995,.60279441,.77469671,0,
15632,1995,.50396353,.61138612,56.21135469364812,
15638,1995,.12509145,.22509961,92.89363678588016,
15646,1995,.13885327,.39822364,7.153587524143358,
15660,1995,.34744525,.66792452,0,
15664,1995,.33909181,.60675228,31.86235462800701,
15667,1995,.75890636,.8839466,48.31501389056649,
15673,1995,.7118746,.89766079,36.16636528028933,
15676,1995,.57104558,.74804688,66.54835847382431,
15681,1995,.73947453,.78710592,276.9425542016142,
15686,1995,.19041534,.44363001,50.74854097944684,
15690,1995,.54545456,.64648646,18.8040616773223,
15693,1995,.5794524,.71523786,15.36688436419516,
15696,1995,.70564783,.7846356,0,
15720,1995,.72261304,.85929203,25.03755633450175,
15723,1995,.34504792,.4600639,0,
15740,1995,.5412035,.60884356,34.40366972477064,
15753,1995,.59388536,.76540345,9.24513474783895,
15755,1995,.1659119,.77095586,11.55535012710885,
15757,1995,.25536671,.6076389,0,
15759,1995,.34054878,.58887124,13.12639950582966,1
15761,1995,.7730239,.80453074,32.07184092366901,
15762,1995,.36000001,.38035855,34.63803255975061,
15763,1995,.31803921,.63911963,0,
15764,1995,.3456848,.55891979,29.69561989606533,
15774,1995,.4637931,.78390461,0,
15776,1995,.42781833,.61584878,15.21375323292256,
15778,1995,.67764407,.78537285,40.23335345001006,
15790,1995,.064935066,.44992673,36.22750875498129,
15798,1995,.7391758,.78129566,18.52537977028529,
15804,1995,.12126201,.49120563,0,
15806,1995,.5119977,.59395301,0,
15808,1995,.50187618,.62327093,37.87878787878788,
15810,1995,.059855521,.40324596,0,
15814,1995,.38732797,.51298147,8.401243384020836,
15816,1995,.43052632,.53850025,18.03751803751804,
15820,1995,.4558011,.72336328,27.47252747252747,
15822,1995,.11327134,.68545753,16.41227638273428,
15832,1995,.12082671,.17345133,0,
15835,1995,.14633334,.45086083,17.09693964780304,
15837,1995,.35882729,.51332527,0,
15839,1995,.28502417,.57959181,0,
15842,1995,.78220212,.8473714,19.97802417340925,
15861,1995,.42095202,.65459609,8.202772537117546,
15879,1995,.56635243,.64832217,25.69373072970195,
15897,1995,.26241136,.66990292,33.17299718029524,
17001,1995,.71129811,.6764825,66.95383059244082,1
17013,1995,.55364209,.69532871,24.4299674267101,1
17042,1995,.66347849,.72490847,57.31922398589065,1
17050,1995,.78604728,.82310408,67.81959986436081,
17088,1995,.67856258,.80638093,98.99683210137275,
17174,1995,.6592648,.76399386,176.8982006136156,1
17272,1995,.62733781,.78960234,30.39698461912578,
17380,1995,.50488502,.57832265,66.45666360966014,1
17388,1995,.53803486,.74144179,80.36001285760206,
17433,1995,.66465116,.87035114,35.47042653187904,1
17442,1995,.65242881,.66768295,94.73060982830077,
17444,1995,.61789125,.79601258,50.98464087693582,
17446,1995,.63221157,.78395861,70.55503292568204,
17486,1995,.68929064,.67512196,87.60236145496096,1
17495,1995,.38955823,.66666669,0,
17513,1995,.59442151,.78385282,38.65481252415925,
